"Fecha","Bola1","Bola2","Bola3","Bola4","Bola5","Bola6","Bola7","Reintegro","Orden"
"D-28-02-1988",6,8,12,23,24,45,3,0,0
"L-29-02-1988",11,31,33,34,41,49,42,0,1
"M-1-03-1988",8,20,21,29,48,49,41,0,2
"M-2-03-1988",8,24,25,29,36,39,47,0,3
"D-6-03-1988",2,5,6,20,29,37,15,0,4
"L-7-03-1988",1,22,29,39,41,44,42,0,5
"M-8-03-1988",1,16,21,31,33,44,42,0,6
"M-9-03-1988",1,3,30,32,38,46,2,0,7
"D-13-03-1988",15,16,21,23,35,49,31,0,8
"L-14-03-1988",1,6,19,34,43,47,5,0,9
"M-15-03-1988",7,28,29,34,38,43,32,0,10
"M-16-03-1988",6,12,22,25,26,49,16,0,11
"D-20-03-1988",7,9,29,32,41,48,25,0,12
"L-21-03-1988",5,13,26,27,29,40,39,0,13
"M-22-03-1988",3,17,21,32,33,34,23,0,14
"M-23-03-1988",6,18,20,36,40,42,37,0,15
"D-27-03-1988",5,24,26,43,46,48,25,0,16
"L-28-03-1988",2,12,15,17,23,42,27,0,17
"M-29-03-1988",2,8,28,33,42,43,35,0,18
"M-30-03-1988",2,8,14,22,28,49,38,0,19
"D-3-04-1988",1,6,9,16,44,48,26,0,20
"L-4-04-1988",8,19,20,30,31,40,34,0,21
"M-5-04-1988",9,11,24,31,36,49,1,0,22
"M-6-04-1988",15,18,21,22,26,40,7,0,23
"D-10-04-1988",2,6,16,17,41,47,31,0,24
"L-11-04-1988",8,11,12,35,40,44,19,0,25
"M-12-04-1988",7,11,15,26,35,49,23,0,26
"M-13-04-1988",10,20,27,32,43,45,42,0,27
"D-17-04-1988",17,20,22,25,32,48,3,0,28
"L-18-04-1988",6,29,31,33,34,38,47,0,29
"M-19-04-1988",17,23,28,33,36,38,2,0,30
"M-20-04-1988",12,17,24,29,45,49,34,0,31
"D-24-04-1988",4,14,17,19,27,44,22,0,32
"L-25-04-1988",3,8,19,30,36,40,47,0,33
"M-26-04-1988",6,18,23,29,31,33,38,0,34
"M-27-04-1988",6,9,11,27,36,37,19,0,35
"D-1-05-1988",11,16,32,33,48,49,18,0,36
"L-2-05-1988",2,14,19,29,34,43,23,0,37
"M-3-05-1988",7,20,22,23,25,26,43,0,38
"M-4-05-1988",3,17,20,30,39,49,19,0,39
"D-8-05-1988",13,23,28,38,40,41,22,0,40
"L-9-05-1988",8,9,13,36,46,47,21,0,41
"M-10-05-1988",11,15,32,39,40,49,31,0,42
"M-11-05-1988",2,9,21,24,31,44,47,0,43
"D-15-05-1988",13,14,15,34,43,47,28,0,44
"L-16-05-1988",1,4,12,18,29,47,46,0,45
"M-17-05-1988",7,22,35,44,47,48,38,0,46
"M-18-05-1988",14,30,32,34,40,46,37,0,47
"D-22-05-1988",1,10,12,19,48,49,46,0,48
"L-23-05-1988",2,6,18,25,29,36,45,0,49
"M-24-05-1988",4,7,10,15,34,35,49,0,50
"M-25-05-1988",9,16,21,33,44,49,3,0,51
"D-29-05-1988",1,6,11,21,45,47,28,0,52
"L-30-05-1988",1,9,20,39,40,48,3,0,53
"M-31-05-1988",10,13,18,25,39,41,23,0,54
"M-1-06-1988",14,20,32,38,47,49,43,0,55
"D-5-06-1988",9,31,37,39,47,48,44,0,56
"L-6-06-1988",20,28,29,31,36,41,24,0,57
"M-7-06-1988",6,10,11,14,39,47,36,0,58
"M-8-06-1988",3,18,21,33,46,48,22,0,59
"D-12-06-1988",3,8,11,14,33,35,1,0,60
"L-13-06-1988",9,17,18,21,22,47,7,0,61
"M-14-06-1988",12,14,16,26,27,29,45,0,62
"M-15-06-1988",3,11,20,21,26,31,7,0,63
"D-19-06-1988",9,12,25,37,46,47,23,0,64
"L-20-06-1988",4,6,36,45,46,49,21,0,65
"M-21-06-1988",10,13,16,28,30,48,21,0,66
"M-22-06-1988",4,8,10,12,39,42,32,0,67
"D-26-06-1988",9,11,14,21,43,48,25,0,68
"L-27-06-1988",2,17,24,31,40,49,7,0,69
"M-28-06-1988",10,16,18,27,29,46,39,0,70
"M-29-06-1988",2,11,23,28,29,49,3,0,71
"D-3-07-1988",4,7,34,41,43,49,27,0,72
"L-4-07-1988",12,16,18,32,39,49,24,0,73
"M-5-07-1988",1,5,13,30,39,46,20,0,74
"M-6-07-1988",2,21,37,38,39,40,47,0,75
"D-10-07-1988",12,17,36,45,47,49,39,0,76
"L-11-07-1988",7,17,28,34,36,44,27,0,77
"M-12-07-1988",1,12,15,18,22,43,32,0,78
"M-13-07-1988",2,18,19,21,26,48,24,0,79
"D-17-07-1988",10,15,22,36,45,47,19,0,80
"L-18-07-1988",1,9,10,14,18,26,31,0,81
"M-19-07-1988",5,14,20,24,29,34,6,0,82
