"Fecha","Bola1","Bola2","Bola3","Bola4","Bola5","Bola6","Bola7","Reintegro","Orden"
"J-17-10-1985",3,11,13,15,34,35,27,0,0
"J-24-10-1985",5,16,18,29,43,44,2,0,1
"J-31-10-1985",10,14,29,33,46,48,30,0,2
"J-7-11-1985",2,9,14,19,34,43,49,0,3
"J-14-11-1985",19,22,34,36,37,43,38,0,4
"J-21-11-1985",6,15,35,44,46,48,38,0,5
"J-28-11-1985",9,17,20,34,41,47,11,0,6
"J-5-12-1985",4,14,23,27,30,40,12,0,7
"J-12-12-1985",2,5,7,43,48,49,11,0,8
"J-19-12-1985",5,28,30,34,39,44,15,0,9
"J-2-01-1986",16,18,38,43,44,47,39,0,10
"J-9-01-1986",2,6,8,10,30,48,41,0,11
"J-16-01-1986",2,14,32,36,41,48,44,0,12
"J-23-01-1986",9,17,35,37,38,46,2,0,13
"J-30-01-1986",20,25,35,42,45,46,17,0,14
"J-6-02-1986",13,14,23,41,47,48,30,0,15
"J-13-02-1986",5,18,21,28,35,48,11,0,16
"J-20-02-1986",15,18,39,42,43,49,48,0,17
"J-27-02-1986",3,26,28,31,46,49,27,0,18
"J-6-03-1986",4,10,15,34,35,36,6,0,19
"J-13-03-1986",1,4,12,13,38,45,32,0,20
"J-20-03-1986",11,25,31,35,41,45,14,0,21
"J-27-03-1986",11,20,22,40,41,46,4,0,22
"J-3-04-1986",1,7,16,20,36,38,48,0,23
"J-10-04-1986",6,12,21,23,35,41,30,0,24
"J-17-04-1986",6,12,26,33,35,45,47,0,25
"J-24-04-1986",11,21,34,36,41,44,27,0,26
"J-1-05-1986",1,6,22,35,47,49,29,0,27
"J-8-05-1986",2,20,21,31,36,49,18,0,28
"J-15-05-1986",5,10,15,30,36,37,3,0,29
"J-22-05-1986",2,9,16,18,44,46,14,0,30
"J-29-05-1986",1,12,15,25,44,45,20,0,31
"J-5-06-1986",2,5,18,21,30,31,39,0,32
"J-12-06-1986",1,8,13,15,32,36,26,0,33
"J-19-06-1986",1,11,26,36,45,47,12,0,34
"J-26-06-1986",9,14,15,25,36,38,47,0,35
"J-3-07-1986",8,14,19,41,44,45,39,0,36
"J-10-07-1986",1,29,30,34,38,48,23,0,37
"J-17-07-1986",16,19,24,37,38,49,28,0,38
"J-24-07-1986",3,19,33,41,47,48,26,0,39
"J-31-07-1986",12,14,15,21,35,43,18,0,40
"J-7-08-1986",3,5,16,35,45,46,48,0,41
"J-14-08-1986",30,34,38,43,47,48,11,0,42
"J-21-08-1986",15,21,22,30,34,37,8,0,43
"J-28-08-1986",3,24,25,28,37,41,8,0,44
"J-4-09-1986",4,9,18,27,37,39,12,0,45
"J-11-09-1986",2,3,20,24,30,43,34,0,46
"J-18-09-1986",15,25,31,35,36,43,46,0,47
"J-25-09-1986",8,21,28,38,43,46,29,0,48
"J-2-10-1986",2,11,25,40,41,43,23,0,49
"J-9-10-1986",7,11,23,26,35,46,31,0,50
"J-16-10-1986",16,21,34,37,42,49,6,0,51
"J-23-10-1986",2,12,21,30,35,48,42,0,52
"J-30-10-1986",1,10,26,34,42,48,11,0,53
"J-6-11-1986",17,22,28,40,42,46,27,0,54
"J-13-11-1986",1,6,26,30,41,43,18,0,55
"J-20-11-1986",3,4,10,19,23,30,26,0,56
"J-27-11-1986",4,20,25,37,41,46,31,0,57
"J-4-12-1986",2,6,9,10,24,48,11,0,58
"J-11-12-1986",5,25,39,41,43,45,18,0,59
"J-18-12-1986",10,16,17,22,39,48,15,0,60
"J-1-01-1987",3,7,9,24,28,41,49,0,61
"J-8-01-1987",13,15,16,21,33,46,18,0,62
"J-15-01-1987",7,8,23,28,29,42,40,0,63
"J-22-01-1987",28,33,34,35,44,45,37,0,64
"J-29-01-1987",6,16,24,26,36,42,14,0,65
"J-5-02-1987",12,15,18,25,31,33,9,0,66
"J-12-02-1987",2,4,7,16,24,38,25,0,67
"J-19-02-1987",2,14,15,17,22,37,48,0,68
"J-26-02-1987",6,15,19,20,38,45,42,0,69
"J-5-03-1987",5,12,17,19,28,32,21,0,70
"J-12-03-1987",6,11,19,36,41,48,14,0,71
"J-19-03-1987",4,6,8,14,30,49,39,0,72
"J-26-03-1987",3,12,18,25,26,49,2,0,73
"J-2-04-1987",10,13,19,27,38,43,35,0,74
"J-9-04-1987",4,22,26,31,36,38,3,0,75
"J-16-04-1987",8,9,24,25,41,46,36,0,76
"J-23-04-1987",9,24,26,33,40,44,48,0,77
"J-30-04-1987",12,14,16,32,41,48,29,0,78
"J-7-05-1987",12,33,34,36,39,40,16,0,79
"J-14-05-1987",1,6,32,33,46,47,8,0,80
"J-21-05-1987",6,12,21,25,37,38,13,0,81
"J-28-05-1987",1,2,7,21,32,33,49,0,82
"J-4-06-1987",3,8,21,24,44,45,9,0,83
"J-11-06-1987",10,20,29,31,38,45,11,0,84
"J-18-06-1987",1,3,7,24,29,48,2,0,85
"J-25-06-1987",12,13,15,22,24,44,32,0,86
"J-2-07-1987",11,15,21,25,36,39,42,0,87
"J-9-07-1987",15,16,19,32,36,38,37,0,88
"J-16-07-1987",8,18,25,26,29,47,2,0,89
"J-23-07-1987",4,5,25,29,34,44,26,0,90
"J-30-07-1987",4,15,27,37,47,49,9,0,91
"J-6-08-1987",13,19,35,42,43,49,25,0,92
"J-13-08-1987",6,23,34,39,45,48,20,0,93
"J-20-08-1987",9,13,21,24,35,38,48,0,94
"J-27-08-1987",2,3,4,6,38,43,20,0,95
"J-3-09-1987",7,9,26,36,44,48,2,0,96
"J-10-09-1987",19,24,29,34,38,48,12,0,97
"J-17-09-1987",8,9,23,35,45,47,34,0,98
